Rank,Player,ATT,YDS,Y/ATT,LG,20+,TD,REC,TGT,YDS,Y/REC,TD,FL,G,FPTS,FPTS/G,RUSHYRDS/G,PASSYDS/G,ATT/G,TGT/G,RUSHTD/G,PASSTD/G,TOTTD/G
1,Saquon Barkley (NYG),261,"1,307",5,78,16,11,91,121,721,7.9,4,0,16,385.8,24.1125,81.6875,45.0625,16.3125,7.5625,0.6875,0.25,0.9375
2,Christian McCaffrey (CAR),219,"1,098",5,59,6,7,107,124,867,8.1,6,1,16,385.5,24.09375,68.625,54.1875,13.6875,7.75,0.4375,0.375,0.8125
3,Todd Gurley II (FA),256,"1,251",4.9,36,11,17,59,81,580,9.8,4,1,14,372.1,26.57857143,89.35714286,41.42857143,18.28571429,5.785714286,1.214285714,0.2857142857,1.5
4,Alvin Kamara (NO),194,883,4.6,49,1,14,81,105,709,8.8,4,0,15,354.2,23.61333333,58.86666667,47.26666667,12.93333333,7,0.9333333333,0.2666666667,1.2
5,Ezekiel Elliott (DAL),304,"1,435",4.7,41,11,6,77,95,567,7.4,3,1,15,329.2,21.94666667,95.66666667,37.8,20.26666667,6.333333333,0.4,0.2,0.6
6,James Conner (ARI),215,973,4.5,30,9,12,55,71,497,9,1,2,13,280,21.53846154,74.84615385,38.23076923,16.53846154,5.461538462,0.9230769231,0.07692307692,1
7,James White (NE),94,425,4.5,27,5,5,87,123,751,8.6,7,0,16,276.6,17.2875,26.5625,46.9375,5.875,7.6875,0.3125,0.4375,0.75
8,Melvin Gordon III (DEN),175,885,5.1,34,9,10,50,66,490,9.8,4,0,12,275.5,22.95833333,73.75,40.83333333,14.58333333,5.5,0.8333333333,0.3333333333,1.166666667
9,David Johnson (HOU),258,940,3.6,53,2,7,50,76,446,8.9,3,2,16,246.7,15.41875,58.75,27.875,16.125,4.75,0.4375,0.1875,0.625
10,Joe Mixon (CIN),237,"1,168",4.9,51,11,8,43,55,296,6.9,1,0,14,243.4,17.38571429,83.42857143,21.14285714,16.92857143,3.928571429,0.5714285714,0.07142857143,0.6428571429
11,Tarik Cohen (CHI),99,444,4.5,32,7,3,71,90,725,10.2,5,3,16,233.9,14.61875,27.75,45.3125,6.1875,5.625,0.1875,0.3125,0.5
12,Kareem Hunt (CLE),181,824,4.6,45,7,7,26,35,378,14.5,7,0,11,230.2,20.92727273,74.90909091,34.36363636,16.45454545,3.181818182,0.6363636364,0.6363636364,1.272727273
13,Phillip Lindsay (HOU),192,"1,037",5.4,65,8,9,35,47,241,6.9,1,0,15,222.8,14.85333333,69.13333333,16.06666667,12.8,3.133333333,0.6,0.06666666667,0.6666666667
14,Kenyan Drake (LV),120,535,4.5,54,4,4,53,73,477,9,5,1,16,206.2,12.8875,33.4375,29.8125,7.5,4.5625,0.25,0.3125,0.5625
15,Chris Carson (SEA),247,"1,151",4.7,61,8,9,20,24,163,8.2,0,2,14,201.4,14.38571429,82.21428571,11.64285714,17.64285714,1.714285714,0.6428571429,0,0.6428571429
16,Derrick Henry (TEN),215,"1,059",4.9,99,4,12,15,18,99,6.6,0,1,16,201.3,12.58125,66.1875,6.1875,13.4375,1.125,0.75,0,0.75
17,Nick Chubb (CLE),192,996,5.2,92,11,8,20,29,149,7.5,2,0,16,194.5,12.15625,62.25,9.3125,12,1.8125,0.5,0.125,0.625
18,Tevin Coleman (NYJ),167,800,4.8,65,8,4,32,44,276,8.6,5,0,16,193.6,12.1,50,17.25,10.4375,2.75,0.25,0.3125,0.5625
19,Adrian Peterson (FA),251,"1,042",4.2,90,5,7,20,26,208,10.4,1,2,16,189,11.8125,65.125,13,15.6875,1.625,0.4375,0.0625,0.5
20,Jordan Howard (PHI),250,935,3.7,42,5,9,20,27,145,7.3,0,1,16,180,11.25,58.4375,9.0625,15.625,1.6875,0.5625,0,0.5625
21,Marlon Mack (IND),195,908,4.7,49,7,9,17,26,103,6.1,1,2,12,178.1,14.84166667,75.66666667,8.583333333,16.25,2.166666667,0.75,0.08333333333,0.8333333333
22,T.J. Yeldon (FA),104,414,4,20,1,1,55,77,487,8.9,4,1,14,173.1,12.36428571,29.57142857,34.78571429,7.428571429,5.5,0.07142857143,0.2857142857,0.3571428571
23,Lamar Miller (NO),210,973,4.6,97,6,5,25,35,163,6.5,1,1,14,172.6,12.32857143,69.5,11.64285714,15,2.5,0.3571428571,0.07142857143,0.4285714286
24,Aaron Jones (GB),133,729,5.5,67,4,8,26,35,206,7.9,1,1,12,171.5,14.29166667,60.75,17.16666667,11.08333333,2.916666667,0.6666666667,0.08333333333,0.75
25,Austin Ekeler (LAC),106,554,5.2,41,4,3,39,53,404,10.4,3,1,14,168.8,12.05714286,39.57142857,28.85714286,7.571428571,3.785714286,0.2142857143,0.2142857143,0.4285714286
26,Matt Breida (BUF),153,814,5.3,66,10,3,27,31,261,9.7,2,1,14,162.5,11.60714286,58.14285714,18.64285714,10.92857143,2.214285714,0.2142857143,0.1428571429,0.3571428571
27,Nyheim Hines (IND),85,314,3.7,18,0,2,63,81,425,6.7,2,0,16,160.9,10.05625,19.625,26.5625,5.3125,5.0625,0.125,0.125,0.25
28,Dion Lewis (FA),155,517,3.3,36,2,1,59,67,400,6.8,1,1,16,160.7,10.04375,32.3125,25,9.6875,4.1875,0.0625,0.0625,0.125
29,Jalen Richard (LV),55,259,4.7,30,3,1,68,81,607,8.9,0,2,16,156.6,9.7875,16.1875,37.9375,3.4375,5.0625,0.0625,0,0.0625
30,Dalvin Cook (MIN),133,615,4.6,70,4,2,40,49,305,7.6,2,2,11,152,13.81818182,55.90909091,27.72727273,12.09090909,4.454545455,0.1818181818,0.1818181818,0.3636363636
31,Peyton Barber (LV),234,871,3.7,28,4,5,20,29,92,4.6,1,1,16,150.3,9.39375,54.4375,5.75,14.625,1.8125,0.3125,0.0625,0.375
32,Mark Ingram II (HOU),138,645,4.7,38,3,6,21,27,170,8.1,1,1,12,142.5,11.875,53.75,14.16666667,11.5,2.25,0.5,0.08333333333,0.5833333333
33,Isaiah Crowell (FA),143,685,4.8,77,6,6,21,28,152,7.2,0,0,13,140.7,10.82307692,52.69230769,11.69230769,11,2.153846154,0.4615384615,0,0.4615384615
34,Kerryon Johnson (FA),118,641,5.4,71,6,3,32,39,213,6.7,1,1,10,139.4,13.94,64.1,21.3,11.8,3.9,0.3,0.1,0.4
35,Sony Michel (LAR),209,931,4.5,34,4,6,7,11,50,7.1,0,1,13,139.1,10.7,71.61538462,3.846153846,16.07692308,0.8461538462,0.4615384615,0,0.4615384615
36,Mike Davis (ATL),112,514,4.6,37,2,4,34,42,214,6.3,1,0,15,136.8,9.12,34.26666667,14.26666667,7.466666667,2.8,0.2666666667,0.06666666667,0.3333333333
37,Duke Johnson Jr. (MIA),40,201,5,23,1,0,47,62,429,9.1,3,0,16,132,8.25,12.5625,26.8125,2.5,3.875,0,0.1875,0.1875
38,Latavius Murray (BAL),140,578,4.1,38,6,6,22,26,141,6.4,0,0,16,131.9,8.24375,36.125,8.8125,8.75,1.625,0.375,0,0.375
39,LeSean McCoy (FA),161,514,3.2,28,3,3,34,46,238,7,0,0,14,127.2,9.085714286,36.71428571,17,11.5,3.285714286,0.2142857143,0,0.2142857143
40,Leonard Fournette (TB),133,439,3.3,25,2,5,22,26,185,8.4,1,0,8,120.4,15.05,54.875,23.125,16.625,3.25,0.625,0.125,0.75
41,Doug Martin (FA),172,723,4.2,29,2,4,18,24,116,6.4,0,3,16,119.9,7.49375,45.1875,7.25,10.75,1.5,0.25,0,0.25
42,Wendell Smallwood (FA),87,364,4.2,15,0,3,28,35,230,8.2,2,1,16,117.4,7.3375,22.75,14.375,5.4375,2.1875,0.1875,0.125,0.3125
43,Theo Riddick (LV),40,171,4.3,19,0,0,61,75,384,6.3,0,0,14,116.5,8.321428571,12.21428571,27.42857143,2.857142857,5.357142857,0,0,0
44,Jamaal Williams (DET),121,464,3.8,20,1,3,27,41,210,7.8,0,0,16,114.4,7.15,29,13.125,7.5625,2.5625,0.1875,0,0.1875
45,Alex Collins (SEA),114,411,3.6,19,0,7,15,21,105,7,1,3,10,108.6,10.86,41.1,10.5,11.4,2.1,0.7,0.1,0.8
46,Frank Gore (FA),156,722,4.6,39,5,0,12,16,124,10.3,1,0,14,102.6,7.328571429,51.57142857,8.857142857,11.14285714,1.142857143,0,0.07142857143,0.07142857143
47,Royce Freeman (CAR),130,521,4,24,2,5,14,20,72,5.1,0,1,14,101.3,7.235714286,37.21428571,5.142857143,9.285714286,1.428571429,0.3571428571,0,0.3571428571
48,Damien Williams (CHI),50,256,5.1,25,3,4,23,24,160,7,2,1,16,98.6,6.1625,16,10,3.125,1.5,0.25,0.125,0.375
49,Carlos Hyde (JAC),172,571,3.3,22,1,5,10,16,33,3.3,0,1,14,98.4,7.028571429,40.78571429,2.357142857,12.28571429,1.142857143,0.3571428571,0,0.3571428571
50,Ito Smith (FA),90,315,3.5,18,0,4,27,32,152,5.6,0,0,14,97.7,6.978571429,22.5,10.85714286,6.428571429,2.285714286,0.2857142857,0,0.2857142857
51,Alfred Blue (FA),150,499,3.3,17,0,2,20,27,154,7.7,0,0,16,97.3,6.08125,31.1875,9.625,9.375,1.6875,0.125,0,0.125
52,Giovani Bernard (TB),56,211,3.8,23,2,3,35,48,218,6.2,0,0,12,95.9,7.991666667,17.58333333,18.16666667,4.666666667,4,0.25,0,0.25
53,Javorius Allen (FA),41,110,2.7,17,0,3,35,43,196,5.6,2,1,14,93.6,6.685714286,7.857142857,14,2.928571429,3.071428571,0.2142857143,0.1428571429,0.3571428571
54,Chris Thompson (CHI),43,178,4.1,16,0,0,41,55,268,6.5,1,0,10,91.6,9.16,17.8,26.8,4.3,5.5,0,0.1,0.1
55,Gus Edwards (BAL),137,718,5.2,43,4,2,2,2,20,10,0,0,11,89.8,8.163636364,65.27272727,1.818181818,12.45454545,0.1818181818,0.1818181818,0,0.1818181818
56,Jaylen Samuels (PIT),56,256,4.6,25,1,0,26,29,199,7.7,3,0,14,87.8,6.271428571,18.28571429,14.21428571,4,2.071428571,0,0.2142857143,0.2142857143
57,Devontae Booker (NYG),34,183,5.4,26,1,1,38,51,275,7.2,0,1,16,87.8,5.4875,11.4375,17.1875,2.125,3.1875,0.0625,0,0.0625
58,LeGarrette Blount (FA),154,418,2.7,27,2,5,10,15,67,6.7,0,1,16,86.5,5.40625,26.125,4.1875,9.625,0.9375,0.3125,0,0.3125
59,Elijah McGuire (KC),92,276,3,34,1,3,19,31,193,10.2,1,2,8,85.9,10.7375,34.5,24.125,11.5,3.875,0.375,0.125,0.5
60,Jacquizz Rodgers (FA),33,106,3.2,20,1,1,38,45,304,8,0,1,16,83,5.1875,6.625,19,2.0625,2.8125,0.0625,0,0.0625
61,Josh Adams (FA),120,511,4.3,29,4,3,7,13,58,8.3,0,1,16,81.9,5.11875,31.9375,3.625,7.5,0.8125,0.1875,0,0.1875
62,Corey Clement (DAL),68,259,3.8,32,2,2,22,25,192,8.7,0,0,11,81.1,7.372727273,23.54545455,17.45454545,6.181818182,2.272727273,0.1818181818,0,0.1818181818
63,Marshawn Lynch (FA),90,376,4.2,52,1,3,15,20,84,5.6,0,0,6,79,13.16666667,62.66666667,14,15,3.333333333,0.5,0,0.5
64,Spencer Ware (FA),51,246,4.8,34,2,2,20,23,224,11.2,0,0,13,79,6.076923077,18.92307692,17.23076923,3.923076923,1.769230769,0.1538461538,0,0.1538461538
65,Chris Ivory (FA),115,385,3.3,21,2,1,13,21,206,15.8,0,0,13,78.1,6.007692308,29.61538462,15.84615385,8.846153846,1.615384615,0.07692307692,0,0.07692307692
66,Ty Montgomery (NO),41,188,4.6,16,0,1,25,40,235,9.4,0,1,13,71.2,5.476923077,14.46153846,18.07692308,3.153846154,3.076923077,0.07692307692,0,0.07692307692
67,Rashaad Penny (SEA),85,419,4.9,38,4,2,9,12,75,8.3,0,0,14,70.4,5.028571429,29.92857143,5.357142857,6.071428571,0.8571428571,0.1428571429,0,0.1428571429
68,Alfred Morris (NYG),111,428,3.9,51,3,2,8,14,73,9.1,0,1,12,68.1,5.675,35.66666667,6.083333333,9.25,1.166666667,0.1666666667,0,0.1666666667
69,Kyle Juszczyk (SF),8,30,3.8,12,0,0,30,40,324,10.8,1,2,16,67.4,4.2125,1.875,20.25,0.5,2.5,0,0.0625,0.0625
70,C.J. Anderson (FA),67,403,6,46,3,2,5,9,41,8.2,1,0,11,67.4,6.127272727,36.63636364,3.727272727,6.090909091,0.8181818182,0.1818181818,0.09090909091,0.2727272727
71,Chase Edmonds (ARI),60,208,3.5,29,2,2,20,23,103,5.2,0,0,16,63.1,3.94375,13,6.4375,3.75,1.4375,0.125,0,0.125
72,Kapri Bibbs (FA),21,103,4.9,15,0,3,16,23,115,7.2,1,0,12,61.8,5.15,8.583333333,9.583333333,1.75,1.916666667,0.25,0.08333333333,0.3333333333
73,Justin Jackson (LAC),50,206,4.1,20,1,2,15,19,135,9,0,0,13,61.1,4.7,15.84615385,10.38461538,3.846153846,1.461538462,0.1538461538,0,0.1538461538
74,Darren Sproles (FA),29,120,4.1,17,0,1,15,23,160,10.7,2,0,6,61,10.16666667,20,26.66666667,4.833333333,3.833333333,0.1666666667,0.3333333333,0.5
75,Bilal Powell (FA),80,343,4.3,38,2,0,11,18,110,10,1,1,7,60.3,8.614285714,49,15.71428571,11.42857143,2.571428571,0,0.1428571429,0.1428571429
76,Jordan Wilkins (IND),60,336,5.6,53,1,1,16,17,85,5.3,0,2,16,60.1,3.75625,21,5.3125,3.75,1.0625,0.0625,0,0.0625
77,Zach Zenner (FA),55,265,4.8,29,1,3,7,10,56,8,0,0,8,57.1,7.1375,33.125,7,6.875,1.25,0.375,0,0.375
78,Kenneth Dixon (FA),60,333,5.6,37,2,2,6,7,51,8.5,0,1,6,54.4,9.066666667,55.5,8.5,10,1.166666667,0.3333333333,0,0.3333333333
79,Rex Burkhead (HOU),57,186,3.3,12,0,0,14,20,131,9.4,1,1,8,49.7,6.2125,23.25,16.375,7.125,2.5,0,0.125,0.125
80,Trenton Cannon (SF),38,113,3,21,1,1,17,25,144,8.5,0,0,16,48.7,3.04375,7.0625,9,2.375,1.5625,0.0625,0,0.0625
81,Wayne Gallman Jr. (ATL),51,176,3.5,9,0,1,14,22,89,6.4,0,1,15,44.5,2.966666667,11.73333333,5.933333333,3.4,1.466666667,0.06666666667,0,0.06666666667
82,Jeff Wilson Jr. (SF),66,266,4,18,0,0,12,15,98,8.2,0,2,6,44.4,7.4,44.33333333,16.33333333,11,2.5,0,0,0
83,Jay Ajayi (FA),45,184,4.1,20,1,3,5,6,20,4,0,1,4,43.4,10.85,46,5,11.25,1.5,0.75,0,0.75
84,James Develin (FA),6,8,1.3,2,0,4,12,18,61,5.1,0,0,16,42.9,2.68125,0.5,3.8125,0.375,1.125,0.25,0,0.25
85,Malcolm Brown (MIA),43,212,4.9,19,0,0,5,7,52,10.4,1,0,12,39.4,3.283333333,17.66666667,4.333333333,3.583333333,0.5833333333,0,0.08333333333,0.08333333333
86,Raheem Mostert (SF),34,261,7.7,52,2,1,6,7,25,4.2,0,1,9,38.6,4.288888889,29,2.777777778,3.777777778,0.7777777778,0.1111111111,0,0.1111111111
87,Marcus Murphy (FA),52,250,4.8,30,1,0,11,19,26,2.4,0,0,11,38.6,3.509090909,22.72727273,2.363636364,4.727272727,1.727272727,0,0,0
88,Kalen Ballage (PIT),36,191,5.3,75,1,1,9,11,56,6.2,0,1,12,37.7,3.141666667,15.91666667,4.666666667,3,0.9166666667,0.08333333333,0,0.08333333333
89,Rod Smith (FA),44,127,2.9,14,0,1,9,12,60,6.7,0,0,16,33.7,2.10625,7.9375,3.75,2.75,0.75,0.0625,0,0.0625
90,Brandon Bolden (NE),8,91,11.4,54,1,2,3,3,13,4.3,1,1,16,29.4,1.8375,5.6875,0.8125,0.5,0.1875,0.125,0.0625,0.1875
91,Andy Janovich (CLE),2,5,2.5,3,0,0,8,10,112,14,1,0,16,25.7,1.60625,0.3125,7,0.125,0.625,0,0.0625,0.0625
92,Anthony Sherman (FA),1,2,2,2,0,0,8,9,96,12,1,0,16,23.8,1.4875,0.125,6,0.0625,0.5625,0,0.0625,0.0625
93,Taquan Mizzell (NYG),9,16,1.8,7,0,0,8,10,78,9.8,1,0,9,23.4,2.6,1.777777778,8.666666667,1,1.111111111,0,0.1111111111,0.1111111111
94,Zach Line (FA),9,41,4.6,9,0,0,5,10,14,2.8,2,0,16,22.5,1.40625,2.5625,0.875,0.5625,0.625,0,0.125,0.125
95,Ronald Jones II (TB),23,44,1.9,9,0,1,7,9,33,4.7,0,0,9,20.7,2.3,4.888888889,3.666666667,2.555555556,1,0.1111111111,0,0.1111111111
96,C.J. Ham (MIN),6,8,1.3,5,0,0,11,15,85,7.7,0,0,15,20.3,1.353333333,0.5333333333,5.666666667,0.4,1,0,0,0
97,Corey Grant (FA),13,40,3.1,8,0,0,9,12,67,7.4,0,0,5,19.7,3.94,8,13.4,2.6,2.4,0,0,0
98,Dontrell Hilliard (HOU),0,0,0,0,0,0,9,10,105,11.7,0,0,11,17.5,1.590909091,0,9.545454545,0,0.9090909091,0,0,0
